Equipment,func_loc_id,id
1000005523 Pressure Indicator 02,45,118
1000005522 Pressure Indicator 01,45,119
1100012511 P-4472B RAW WATER PUMP B,45,120
1100012510 P-4472A RAW WATER PUMP A,45,121
1100012509 P-301 UTILITY PUMP,45,122
1100012518 P-203 CIP PUMP,45,123
1100012517 P-202 HP PUMP,45,124
1100012508 P-201B BWRO LP PUMP,45,125
1100012507 P-201A BWRO LP PUMP,45,126
1100012506 P-103 BRINE PUMP,45,127
1100012505 P-102 BACKWASH PUMP,45,128
1100012504 P-101B MMF FEED PUMP,45,129
1100012503 P-101A MMF FEED PUMP,45,130
1000006262 Indikator Temperature 06,45,131
1000005520 Indikator Temperature 05,45,132
1000005519 Indikator Temperature 04,45,133
1000005518 Indikator Temperature 03,45,134
1000005517 Indikator Temperature 02,45,135
1000005516 Indikator Temperature 01,45,136
1100158277 EXTENTION ROTATABLE BELT CONVEYOR,45,137
1100012516 D2P 205 DOSING PUMP,45,138
1100012515 D2P 204 DOSING PUMP,45,139
1100012514 D2P 203 DOSING PUMP,45,140
1100160636 CHAIN GRATE FURNACE X461,45,141
1100012513 BOILER FEED WATER PUMP 2,45,142
1100012512 BOILER FEED WATER PUMP 1,45,143
NO EQUIPMENT,45,144
1200000709 Autoclave (TOMY),46,145
1200000710 Digital Orbital Shaker (Daihan Scientifi,46,146
1200000711 Digital Orbital Shaker (Ika),46,147
1200000712 Hot Plate (IKA),46,148
1200000713 Inkubator (Memmert),46,149
1200000714 Kulkas (Sharp),46,150
1200000715 Laminar Flow Cabinet (Biobase),46,151
1200000716 Oven (Memmert),46,152
1200000717 Showcase (Polytron),46,153
1200000718 Showcase (Sanken),46,154
1200000719 Vacuum Filtration system (Rocker),46,155
1200000720 Vacuum pump (Rocker),46,156
1200000721 Vortex (Thermo Scientific),46,157
1200000722 Waterbatch (Memmert),46,158
NO EQUIPMENT,46,159
1000023472 G631 HOIST CRANE,47,160
1000023473 AIR CONDITIONER #1 (ATAS),47,161
1000023474 AIR CONDITIONER #2 (BAWAH),47,162
NO EQUIPMENT,47,163
1000023130 TD-03 TIMBANGAN DUDUK 300 KG #3,48,164
1000023131 TD-04 TIMBANGAN DUDUK 300 KG #4,48,165
1000023132 HP-04 HAND PALLET SCALE #4,48,166
NO EQUIPMENT,48,167
1100272638 A611 AGITATOR DRY MIXER #1 P610,49,168
NO EQUIPMENT,49,169
1000023123 XV01 PUSH BUTTON AGITATOR DRY MIXER #1,50,170
1100077873 STORAGE TANK S398 S13,51,171
NO EQUIPMENT,50,172
1000023122 XV02 PUSH BUTTON AGITATOR DRY MIXER #1,52,173
NO EQUIPMENT,52,174
1100273940 F611 DUST COLLECTOR P610,53,175
NO EQUIPMENT,53,176
1100275304 V611 VERTICAL DRY MIXER TANK #1 P610,54,177
NO EQUIPMENT,54,178
1100273780 BL01 BALL VALVE WATER V611,55,179
NO EQUIPMENT,55,180
1100273779 BL02 BALL VALVE WATER V611,56,181
1100077872 STORAGE TANK S397 S7/TANK F,51,182
NO EQUIPMENT,56,183
1100273781 X611 SEALING PRESS MACHINE P610,57,184
NO EQUIPMENT,57,185
1000023346 TD-01 TIMBANGAN DUDUK 300 KG #1,58,186
NO EQUIPMENT,58,187
1000023347 HP-03 HAND PALLET SCALE #3 P620,58,188
1000023348 TD-02 TIMBANGAN DUDUK 300 KG #2 P620,58,189
1000023349 HP-01 HAND PALLET SCALE #1,58,190
1100077871 STORAGE TANK S396 S6,51,191
1100275114 HP-02 HAND PALLET SCALE #2 ,58,192
1100275115 TD-07 TIMBANGAN DUDUK 2000 KG #1,58,193
1100275116 DR-01 DRUM STACKER,58,194
1100275117 DR-02 HYDRAULIC DRUM PORTER P620,58,195
1100275127 DR-03 MANUAL DRUM PORTER P620,58,196
1100077870 STORAGE TANK S395 S5/TANK E,51,197
1100275128 G621 EMERGENCY SHOWER #1 P620,58,198
1100275129 G622 EMERGENCY SHOWER #2 P620,58,199
1100273994 A621 AGITATOR WET MIXER #1 P620,59,200
NO EQUIPMENT,59,201
1000023350 XV01 PUSH BUTTON AGITATOR A621,60,202
NO EQUIPMENT,60,203
1000023351 XV02 LAMP A621,61,204
1100077869 STORAGE TANK S394 S4,51,205
NO EQUIPMENT,61,206
1100273995 A622 AGITATOR WET MIXER #2 P620,62,207
NO EQUIPMENT,62,208
1000023352 TT01 TEMPERATURE TRANSMITTER A622,63,209
NO EQUIPMENT,63,210
1000023353 XV01 PUSH BUTTON AGITATOR A622,64,211
NO EQUIPMENT,64,212
1000023354 XV02 LAMP A622,65,213
NO EQUIPMENT,65,214
1100275133 A624 AGITATOR IBC MIXER #1 P620,66,215
1100077858 STORAGE TANK S393 S3,51,216
NO EQUIPMENT,66,217
1100273996 P621 DIFRAGMA PUMP #1 P620,67,218
NO EQUIPMENT,67,219
1100275124 P622 DIFRAGMA PUMP #2 P620,68,220
NO EQUIPMENT,68,221
1100275125 P623 DIFRAGMA PUMP #3 P620,69,222
NO EQUIPMENT,69,223
1100275130 P624 WATER TRANSFER PUMP #1 P620,70,224
NO EQUIPMENT,70,225
1100275131 P625 WATER TRANSFER PUMP #2 P620,71,226
1100077857 STORAGE TANK S392 S2,51,227
NO EQUIPMENT,71,228
1100275126 R625 HAND MIXER #1 P620,72,229
NO EQUIPMENT,72,230
1100275132 S621 WATER STORAGE TANK #1 P620,73,231
NO EQUIPMENT,73,232
1100273997 V621 WET MIXER #1 P620,74,233
NO EQUIPMENT,74,234
"1100273999 BL01 BALL VALVE AIR 1/2"" V621",75,235
NO EQUIPMENT,75,236
"1100274000 BL02 BALL VALVE WATER 1"" V621",76,237
1100077856 STORAGE TANK S391 S1,51,238
NO EQUIPMENT,76,239
"1100274001 BL05 BALL VALVE 5"" V621",77,240
NO EQUIPMENT,77,241
1100273998 V622 WET MIXER #2 P620,78,242
NO EQUIPMENT,78,243
"1100294939 BL01 BALL VALVE AIR 1/2"" V622",79,244
NO EQUIPMENT,79,245
"1100294940 BL02 BL02 BALL VALVE WATER 1"" V622",80,246
NO EQUIPMENT,80,247
"1100294941 BL03 BALL VALVE WATER 2"" V622",81,248
1100055090 S385/S8 LOW GRADE STORAGE TANK T380,51,249
NO EQUIPMENT,81,250
"1100294942 BL04 BALL VALVE WATER 2"" V622",82,251
NO EQUIPMENT,82,252
"1100294943 BL05 BALL VALVE 1"" V622",83,253
NO EQUIPMENT,83,254
"1100294944 BL06 BALL VALVE 1"" V622",84,255
NO EQUIPMENT,84,256
"1100294945 BL07 BALL VALVE 2"" V622",85,257
NO EQUIPMENT,85,258
1100281482 V623 WET MIXER #3 SPECIALITY P620,86,259
1100055094 S384/S12 ALUM SULFAT STORAGE TANK T380,51,260
NO EQUIPMENT,86,261
1100275134 V624 IBC MIXER #1 P620,87,262
NO EQUIPMENT,87,263
1100275118 TD-05 TIMBANGAN DUDUK 300 KG #5 P630,88,264
NO EQUIPMENT,88,265
1100275119 TD-06 TIMBANGAN DUDUK 300 KG #6 P630,89,266
NO EQUIPMENT,89,267
1100275121 G634 MESIN JAHIT #1 P630,90,268
NO EQUIPMENT,90,269
1100275122 G634 MESIN JAHIT #2 P630,91,270
1100055093 S383/S11 ALUM SULFAT STORAGE TANK T380,51,271
NO EQUIPMENT,91,272
1100275123 F631 VIBRO SCREEN SPARATOR P630,92,273
NO EQUIPMENT,92,274
1100275120 P631 DIFRAGMA PUMP #4 P630,93,275
NO EQUIPMENT,94,276
1100294934 P461 POMPA SUMP PIT SPECIALITY P640,95,277
NO EQUIPMENT,95,278
1100294935 P462 POMPA SUMP PIT SPECIALITY P640,96,279
NO EQUIPMENT,97,280
1100055092 S382/S10 BENFLOC STORAGE TANK T380,51,281
1100294936 S461 GROUND TANK SUMP PIT AREA P640,98,282
NO EQUIPMENT,98,283
1100294937 S462 GROUND TANK SUMP PIT AREA P640,99,284
NO EQUIPMENT,99,285
1100294938 S463 GROUND TANK SUMP PIT AREA P640,100,286
NO EQUIPMENT,100,287
1100055091 S38/S9 BENFLOC STORAGE TANK T380,51,288
1100038377 S375 TANGKI K PAC T370,51,289
1100038379 S374 TANGKI M PAC T370,51,290
1100038375 S373 TANGKI I PAC 250 MU T370,51,291
1100038378 S372 TANGKI L PAC 250 MU T370,51,292
1100038376 S371 TANGKI J PAC 250 MU T370,51,293
1100012474 P-S07 POMPA TRANSFER PAC 200,51,294
1100012473 P-S06 POMPA TRANSFER PAC LG,51,295
1100012472 P-S05 POMPA PAC,51,296
1100012471 P-S04 POMPA TRANSFER BENFLOG,51,297
1100012470 P-S03 POMPA TRANSFER PAC LG,51,298
1100012469 P-S02 POMPA TRANSFER,51,299
1000005989 PANEL STORAGE OLD PLANT PN.38,51,300
1100012475 P383 S08 POMPA TRANSFER PAC LG T380,51,301
1100055095 P382 S11/S12 ALUM SULFAT PUMP T380,51,302
1100012476 P381 S09 POMPA TRANSFER BENFLOC T380,51,303
1100012481 P375 POMPA M TRANSFER PAC T370,51,304
1100012480 P374 POMPA K TRANSFER PAC T370,51,305
1100012479 P373 POMPA L TRANSFER 250 MU T370,51,306
1100012477 P372 POMPA I TRANSFER 250 MU T370,51,307
1100012478 P371 POMPA J TRANSFER 250 MU T370,51,308
1100135851 GROUNT TANK STORAGE PLANT OLD,51,309
1000005977 PANEL ST.01/ST.04 PN.36,101,310
1100123283 P366 RAINWATER TRANSFER PUMP T360,101,311
1100012468 P-S19 POMPA PAC PENGISIAN TRUK 3,102,312
1100012467 P-S18 POMPA PAC PENGISIAN TRUK 2,102,313
1100012466 P-S17 POMPA PAC PENGISIAN TRUK 1,102,314
1100012465 P-S16 POMPA TRANSFER PAC 2,102,315
1100012464 P-S15 POMPA TRANSFER PAC 1,102,316
1100012463 P-S01B POMPA PAC 250 B,103,317
1100012462 P-S01A POMPA PAC 250 A,103,318
1100014463 T422 CHIMNEY SCRUBBER A U420,104,319
1100014454 T241 SCRUBBER A AREA P240 PACV,105,320
1100170264 FLOW METER FG01,105,321
1100014503 V4311/V431 SCRUBBER LIQUID TANK U430,106,322
1100014496 T4311/T251 SCRUBBER B U430,106,323
1100170263 FLOW METER FG01,106,324
1600001424 T232 SCRUBBER CHIMNEY P230,107,325
1100012352 T231 SCRUBBER P230,108,326
1000010487 PANEL SUMPIT,109,327
1100022820 S362 TANGKI ST-04 T360,110,328
1100068253 A362 AGITATOR MIXING TANK ST.04,110,329
1100022819 S361 TANGKI ST-01 T360,111,330
1100037024 A361 AGITATOR MIXING TANK ST.01,111,331
1100027839 T121 SCRUBBER #3500,112,332
1100012382 P122/BM102 POMPA SCRUBBER 3500 #2,112,333
1100012381 P121/BM101 POMPA SCRUBBER 3500 #1,112,334
1100034013 T131 SCRUBBER #3200,113,335
1100012384 P132/BM104 POMPA SCRUBBER 3200 #2,113,336
1100012383 P131/BM103 POMPA SCRUBBER 3200 #1,113,337
1100037611 SCRUBBER #1400,114,338
1100012386 P141/BM106 POMPA SCRUBBER 1400,114,339
1600001617 S371 WASTE WATER TANK T370,115,340
1100122415 S233 PACV TEMPORARY TANK P230,116,341
1100122414 S232 PACV TEMPORARY TANK P230,117,342
1100028082 S231 SCRUBBER LIQUID TANK HINCO P230,118,343
1100122413 S231 PACV TEMPORARY TANK P230,119,344
1100055037 S228 FILTER STORAGE TANK P220,120,345
1100055036 S227 FILTER STORAGE TANK P220,121,346
1100055020 S226 WASTE LIQUID TANK P220,122,347
1100055035 S226 WASHING WATER TANK P220,123,348
1100012380 S225 TEMPORARY PRODUCT STORAGE TANK P220,124,349
1100055034 S225 SLUDGE WATER TANK P220,125,350
1100055039 S224 COOLING WATER TANK P220,126,351
1100012379 S224 COOLING POND P220,127,352
1100055038 S223 COOLING WATER TANK P220,128,353
1100012378 S223 COOLING POND P220,129,354
1100012377 S222 COOLING POND P220,130,355
1100055033 S222 CLEANING WATER TANK P220,131,356
1100012376 S221 COOLING POND P220,132,357
1100021992 S211 SODA ASH STORAGE TANK P210,133,358
1100055031 S211 EMERGENCY TANDON PACV P210,134,359
1100055018 S121 PROFIL TANK P120,135,360
1100055017 S113 COOLING WATER TANK P110,136,361
1100012363 S112 WATER MEASURING TANK P110,137,362
1100012362 S111 LAD/LCB MEASURING TANK P110,138,363
1100012375 R212 REACTION POND P210,139,364
1100013647 R2113/R213 REACTOR PACV P210,140,365
1100013631 R212 REACTOR PACV P210,141,366
1100013598 R2111/R211 REACTOR PACV P210,142,367
1100055019 THERMOCOUPLE R211 HINCO P210,143,368
1100012374 R211 REACTION POND P210,143,369
1100012373 R210 REACTION POND P210,144,370
1100012372 R209 REACTION POND P210,145,371
1100012371 R208 REACTION POND P210,146,372
1100089229 THERMOCOUPLE BAK REAKSI R207 0-200°C,147,373
1100012370 R207 REACTION POND P210,147,374
1100012369 R206 REACTION POND P210,148,375
1100012368 R205 REACTION POND P210,149,376
1100012367 R204 REACTION POND P210,150,377
1100012366 R203 REACTION POND P210,151,378
1100012365 R202 REACTION POND P210,152,379
1100012364 R201 REACTION POND P210,153,380
1100012348 R111 REACTOR HINCO P110,154,381
1100163635 FT.01 FLOW TRANSMITTER R111 HINCO,154,382
1100013599 PR01 PRES REGULATING VALVE REAKTOR R211,155,383
1100035864 P365 Additive A Feeding Pump,156,384
1100036610 P364 PRODUCT TRANSFER PUMP B ST.04 PACS,156,385
1100036609 P363 PRODUCT TRANSFER PUMP A ST.04 PACS,156,386
1100035867 P362 PRODUCT TRANSFER PUMP B ST.01 PACV,156,387
1100035866 P361 PRODUCT TRANSFER PUMP A ST.01 PACV,156,388
1100035865 ADDITIVE B FEEDING PUMP,156,389
1100013712 PG01 PRESSURE GAUGE POMPA P233,157,390
1100013804 PG01 PRESSURE GAUGE POMPA P232,158,391
1100013789 PG01 PRESSURE GAUGE POMPA P231,159,392
1100013708 PG01 PRESSURE GAUGE POMPA P222,160,393
1100013692 PG01 PRESSURE GAUGE POMPA P221,161,394
1000010484 PANEL P42 NEW FILTER PRESS PACV,162,395
"1100036791 FLOWMETER 3"" LAD AREA REACTOR PACV P210",163,396
"1100036790 FLOWMETER 2,5"" LCB AREA REACTOR PACV P21",163,397
"1100036786 FLOWMETER 1,5"" AIR AREA REACTOR PACV P23",163,398
1100035862 S235 MECH. SEAL COOLING TANK P230,164,399
1100035863 P235 REWORK PUMP PACV P230,164,400
1100035861 P233 MECH. SEAL COOLING PUMP P230,164,401
"1100036785 F.01 FLOWMETER 1,5"" HCL PACV P230",164,402
1100014523 P4311B/P252 SCRUBBER PUMP U430,165,403
1100014512 P4311A/P251 SCRUBBER PUMP U430,165,404
1100014489 P4211B/P242 SCRUBBER PUMP U420,166,405
1100014478 P4211A/P241 SCRUBBER PUMP U420,167,406
1100038344 P372 WASTE WATER TRANSFER PUMP T370,168,407
1100038343 P371 WASTE WATER TRANSFER PUMP T370,169,408
1100014271 P3511B/P352 TRANSFER PUMP ST.01,170,409
1100014260 P3511A/P351 TRANSFER PUMP T350,171,410
1000004811 PN41/P257 PANEL MOTOR POMPA 250,172,411
"1000004810 PN7/P256 PANEL MOTOR POMPA 1,2 P250",173,412
1000004809 PN6.2/P254 PANEL MOTOR SCRUBBER B P250,174,413
1000004808 PN6.1/P254 PANEL MOTOR SCRUBBER A P250,174,414
1100027017 P4212/P253 TRANSFER POMPA LAD U420,175,415
1000004806 PN81/P252 PANEL FILTER PRESS 2 P250,176,416
1000004805 PN71/P252 PANEL FILTER PRESS 1 P250,176,417
1000004804 PN21/P251 PANEL MOTOR AGITATOR P250,177,418
1100015364 P232  WASHING PUMP PACV P230,178,419
1100015363 P2341A/P231  WASHING PUMP PACV P230,179,420
1100013709 P2324/P234 TRANSFER PUMP NON FILTER P230,180,421
1100012351 P231 SCRUBBER PUMP P230,181,422
1100038122 P227 TRANSFER PUMP FILTER PRESS P220,182,423
1100026648 P226 TRANS. SLURRY PUMP PACV P220,183,424
1100073901 P225 TRANS. SLURRY PUMP PACV P220,184,425
1100038124 P224 MECHSEAL COOLING PUMP P220,185,426
1100029809 P223 PRODUCT TRANSFER PUMP PAC200 P220,186,427
1100038123 P223 MECHSEAL COOLING PUMP P220,187,428
1100038270 P222 POMPA SANCHIN PACV P220,188,429
1100012355 P222 PRODUCT TRANSFER PUMP P220,189,430
1100018969 P221 WATER SPRAYER PUMP P220,190,431
1100012354 P221 PRODUCT TRANSFER PUMP P220,191,432
1100021990 P213 POMPA SODA ASH P210,192,433
1100029404 P212 REACTION POND TRANSFER PUMP P210,193,434
1100018971 P2111B/P212 SLURRY PUMP PACV P210,194,435
1100018970 P2111A/P211 SLURRY PUMP PACV P210,195,436
1100029403 P211 REACTION POND TRANSFER PUMP P210,196,437
1100012345 P121 WASTE LIQUID PUMP P120,197,438
1100029402 P113 COOLING PUMP P110,198,439
1100012344 P112 REACTOR TRANSFER PUMP P110,199,440
1100012343 P111 REACTOR TRANSFER PUMP P110,200,441
1100013845 LS01 LEVEL SWITCH TANKI V244,201,442
1100013833 LS01 LEVEL SWITCH TANKI V243,202,443
1100013821 LS01 LEVEL SWITCH TANKI V242,203,444
1100013811 LS01 LEVEL SWITCH TANKI V241,204,445
1600001376 TRUCK MITSUBISHI FUSO 5 TON B9006JFR,205,446
1600001423 TRUCK MITSUBISHI FUSO 15 TON B9020JFR,205,447
1600001349 TRUCK MITSUBISHI FUSO 15 TON B9007JFR,205,448
1600001590 TRUCK MITSUBISHI FUSO 10 TON B9161NFA,205,449
1600001591 TRUCK MITSUBISHI FUSO 10 TON B9160NFA,205,450
1600001378 TRUCK MITSUBISHI FUSO 10 TON B9014JFR,205,451
1600001377 TRUCK MITSUBISHI FUSO 10 TON B9004JFA,205,452
1100013846 LG01 LEVEL GAUGE TANKI V244,206,453
1100013834 LG01 LEVEL GAUGE TANKI V243,207,454
1100013822 LG01 LEVEL GAUGE TANKI V242,208,455
1100013812 LG01 LEVEL GAUGE TANKI V241,209,456
1100013778 LG01 LEVEL GAUGE TANKI V234,210,457
1100013765 LG01 LEVEL GAUGE TANKI V233,211,458
1100013752 LG01 LEVEL GAUGE TANKI V232,212,459
1100013733 LG01 LEVEL GAUGE TANKI V231,213,460
1100013694 LG01 LEVEL GAUGE TANKI V222,214,461
1100013678 LG01 LEVEL GAUGE TANKI V221,215,462
1200000194 Viscometer SPINDLE 64,216,463
1200000193 Viscometer SPINDLE 63,216,464
1200000192 Viscometer SPINDLE 62,216,465
1200000177 VISCOMETER,216,466
1200000174 TURBIDITY METER - 1000 NTU,216,467
1200000170 THERMOMETER,216,468
1200000175 SPEKTROFOTOMETER,216,469
1200000524 Spectro Meter - 1000 nm,216,470
1200000188 Scale 60.000 kg,216,471
1200000189 Scale 500 kg,216,472
1200000191 Scale 220 kg,216,473
1200000190 Scale 200 kg,216,474
1200000172 SCALE 2,216,475
1200000187 Scale 150 kg,216,476
1200000171 SCALE 1,216,477
1200000205 Pipet Volumetric 50ml Pyrex,216,478
1200000195 Pipet Volumetric 50 ml,216,479
1200000202 Pipet Volumetric 25ml Pyrex,216,480
1200000179 PIPET VOLUMETRIC 25 ML Superior,216,481
1200000180 PIPET VOLUMETRIC 20 ML Pyrex,216,482
1200000173 PH METER,216,483
1100062039 OVEN LAB BATUBARA 0°C – 260°C,216,484
1200000176 OVEN 30°-200°C MERK MEMMERT,216,485
1200000186 Neraca Analitik Scale 210 Gram,216,486
1200000185 Neraca ANalitic Scale 320 Gram,216,487
1200000207 LABU UKUR 500ML Merk Pyrex,216,488
1200000206 LABU UKUR 250ML Merk Pyrex,216,489
1200000414 KALORIMETER LAB BATU BARA 0 - 0.001 Kj/K,216,490
1200000169 HYDROMETER 1.900 - 1.200,216,491
1200000184 Hydrometer 1.800 - 2.000,216,492
1200000168 HYDROMETER 1.800 - 1.900,216,493
1200000167 HYDROMETER 1.700 - 1.800,216,494
1200000166 HYDROMETER 1.600 - 1.700,216,495
1200000165 HYDROMETER 1.500 - 1.600,216,496
1200000164 HYDROMETER 1.400 - 1.500,216,497
1200000163 HYDROMETER 1.300 - 1.400,216,498
1200000162 HYDROMETER 1.200 - 1.300,216,499
1200000161 HYDROMETER 1.100 - 1.200,216,500
1200000160 HYDROMETER 1.000 - 1.100,216,501
1200000415 FURNACE LAB BATU BARA 1°C - 999°C,216,502
1200000416 FURNACE  1°C- 1000°C,216,503
1200000200 Buret Automatics 50ml,216,504
1200000181 BURET 25 ML Merk Pyrex,216,505
1100077718 Pompa Celup Area Reactor #3,217,506
1100162503 PIPA SONDING REACTOR R111 HINCO,217,507
1000005973 PANEL CONTROL P-PROSES 1 PN.26 P110,217,508
1000005974 PANEL CONTROL P-PROSES 1 PN.23 P110,217,509
1100038680 KARCHER SPRAY PUMP,217,510
1100077697 Hand Pallet Scale 2T GOZOZ Orange HP10,217,511
1100142848 SELUNCUR INGOT #2,218,512
1100142847 SELUNCUR INGOT #1,218,513
1000005975 PANEL DB PROSES PN.22 P210,218,514
1100037243 P214 COOLING PUMP P210,218,515
1100034560 Hand Pallet Scale 2T GOZOZ Kuning HP11,218,516
1000012899 PANEL FILTER PRESS HINCO,219,517
1100033158 P122 POMPA SHANCIN/JET SPRAY HINCO P120,219,518
1000005972 PANEL MOTOR SCRUBBER PN.28 P230,220,519
1100013646 H213 HOPPER PACV P210,221,520
1100013630 H212 HOPPER PACV P210,222,521
1100013597 H211 HOPPER PACV P210,223,522
1100037006 Timbangan Duduk 0-300Kg GBB,224,523
1100077696 HAND PALLET GBJ-7,224,524
1100037291 TIMBANGAN DUDUK KENKO 3 TON,225,525
1100023687 TIMBANGAN DUDUK 0-300 Kg,225,526
1100037289 TANGKI SOLAR,225,527
1100058714 POMPA TANGKI SOLAR,225,528
1100015635 Pompa Air Jetpump,225,529
1000014136 PENYALUR PETIR STORAGE SGM,225,530
1100135663 PANEL GBB LOGISTIC,225,531
1100036611 LOADING DOCK PORTABLE,225,532
"1100023689 HAND PALLET 0,01-2000 KG",225,533
1600001380 FORKLIFT MITSUBISHI F.04,225,534
1600001330 FORKLIFT MITSUBISHI F.01,225,535
"1100023686 TIMBANGAN DUDUK 0,01-300 Kg",226,536
1000015587 PENYALUR PETIR AREA GBJ,226,537
1000014748 PANEL PENERANGAN GBJ LOGISTIC,226,538
"1100023688 HAND PALLET 0,01-2000 KG HP-08",226,539
1600001332 FORKLIFT KOMATSU F.05,226,540
"1100026885 TIMBANGAN DUDUK 0,01-300kg",227,541
1100013607 GL04 GLOBE VALVE REAKTOR R211,228,542
1100013606 GL03 GLOBE VALVE REAKTOR R211,229,543
1100013605 GL02 GLOBE VALVE REAKTOR R211,230,544
1100013665 GL01 GLOBE VALVE REAKTOR R214,231,545
